"","country","date","var","value"
"1","Afghanistan",2020-01-22,"confirmed",0
"2","Afghanistan",2020-01-23,"confirmed",0
"3","Afghanistan",2020-01-24,"confirmed",0
"4","Afghanistan",2020-01-25,"confirmed",0
"5","Afghanistan",2020-01-26,"confirmed",0
"6","Afghanistan",2020-01-27,"confirmed",0
"7","Afghanistan",2020-01-28,"confirmed",0
"8","Afghanistan",2020-01-29,"confirmed",0
"9","Afghanistan",2020-01-30,"confirmed",0
"10","Afghanistan",2020-01-31,"confirmed",0
"11","Afghanistan",2020-02-01,"confirmed",0
"12","Afghanistan",2020-02-02,"confirmed",0
"13","Afghanistan",2020-02-03,"confirmed",0
"14","Afghanistan",2020-02-04,"confirmed",0
"15","Afghanistan",2020-02-05,"confirmed",0
"16","Afghanistan",2020-02-06,"confirmed",0
"17","Afghanistan",2020-02-07,"confirmed",0
"18","Afghanistan",2020-02-08,"confirmed",0
"19","Afghanistan",2020-02-09,"confirmed",0
"20","Afghanistan",2020-02-10,"confirmed",0
"21","Afghanistan",2020-02-11,"confirmed",0
"22","Afghanistan",2020-02-12,"confirmed",0
"23","Afghanistan",2020-02-13,"confirmed",0
"24","Afghanistan",2020-02-14,"confirmed",0
"25","Afghanistan",2020-02-15,"confirmed",0
"26","Afghanistan",2020-02-16,"confirmed",0
"27","Afghanistan",2020-02-17,"confirmed",0
"28","Afghanistan",2020-02-18,"confirmed",0
"29","Afghanistan",2020-02-19,"confirmed",0
"30","Afghanistan",2020-02-20,"confirmed",0
"31","Afghanistan",2020-02-21,"confirmed",0
"32","Afghanistan",2020-02-22,"confirmed",0
"33","Afghanistan",2020-02-23,"confirmed",0
"34","Afghanistan",2020-02-24,"confirmed",1
"35","Afghanistan",2020-02-25,"confirmed",1
"36","Afghanistan",2020-02-26,"confirmed",1
"37","Afghanistan",2020-02-27,"confirmed",1
"38","Afghanistan",2020-02-28,"confirmed",1
"39","Afghanistan",2020-02-29,"confirmed",1
"40","Afghanistan",2020-03-01,"confirmed",1
"41","Afghanistan",2020-03-02,"confirmed",1
"42","Afghanistan",2020-03-03,"confirmed",1
"43","Afghanistan",2020-03-04,"confirmed",1
"44","Afghanistan",2020-03-05,"confirmed",1
"45","Afghanistan",2020-03-06,"confirmed",1
"46","Afghanistan",2020-03-07,"confirmed",1
"47","Afghanistan",2020-03-08,"confirmed",4
"48","Afghanistan",2020-03-09,"confirmed",4
"49","Afghanistan",2020-03-10,"confirmed",5
"50","Afghanistan",2020-03-11,"confirmed",7
"51","Afghanistan",2020-03-12,"confirmed",7
"52","Afghanistan",2020-03-13,"confirmed",7
"53","Afghanistan",2020-03-14,"confirmed",11
"54","Afghanistan",2020-03-15,"confirmed",16
"55","Afghanistan",2020-03-16,"confirmed",21
"56","Albania",2020-01-22,"confirmed",0
"57","Albania",2020-01-23,"confirmed",0
"58","Albania",2020-01-24,"confirmed",0
"59","Albania",2020-01-25,"confirmed",0
"60","Albania",2020-01-26,"confirmed",0
"61","Albania",2020-01-27,"confirmed",0
"62","Albania",2020-01-28,"confirmed",0
"63","Albania",2020-01-29,"confirmed",0
"64","Albania",2020-01-30,"confirmed",0
"65","Albania",2020-01-31,"confirmed",0
"66","Albania",2020-02-01,"confirmed",0
"67","Albania",2020-02-02,"confirmed",0
"68","Albania",2020-02-03,"confirmed",0
"69","Albania",2020-02-04,"confirmed",0
"70","Albania",2020-02-05,"confirmed",0
"71","Albania",2020-02-06,"confirmed",0
"72","Albania",2020-02-07,"confirmed",0
"73","Albania",2020-02-08,"confirmed",0
"74","Albania",2020-02-09,"confirmed",0
"75","Albania",2020-02-10,"confirmed",0
"76","Albania",2020-02-11,"confirmed",0
"77","Albania",2020-02-12,"confirmed",0
"78","Albania",2020-02-13,"confirmed",0
"79","Albania",2020-02-14,"confirmed",0
"80","Albania",2020-02-15,"confirmed",0
"81","Albania",2020-02-16,"confirmed",0
"82","Albania",2020-02-17,"confirmed",0
"83","Albania",2020-02-18,"confirmed",0
"84","Albania",2020-02-19,"confirmed",0
"85","Albania",2020-02-20,"confirmed",0
"86","Albania",2020-02-21,"confirmed",0
"87","Albania",2020-02-22,"confirmed",0
"88","Albania",2020-02-23,"confirmed",0
"89","Albania",2020-02-24,"confirmed",0
"90","Albania",2020-02-25,"confirmed",0
"91","Albania",2020-02-26,"confirmed",0
"92","Albania",2020-02-27,"confirmed",0
"93","Albania",2020-02-28,"confirmed",0
"94","Albania",2020-02-29,"confirmed",0
"95","Albania",2020-03-01,"confirmed",0
"96","Albania",2020-03-02,"confirmed",0
"97","Albania",2020-03-03,"confirmed",0
"98","Albania",2020-03-04,"confirmed",0
"99","Albania",2020-03-05,"confirmed",0
"100","Albania",2020-03-06,"confirmed",0
"101","Albania",2020-03-07,"confirmed",0
"102","Albania",2020-03-08,"confirmed",0
"103","Albania",2020-03-09,"confirmed",2
"104","Albania",2020-03-10,"confirmed",10
"105","Albania",2020-03-11,"confirmed",12
"106","Albania",2020-03-12,"confirmed",23
"107","Albania",2020-03-13,"confirmed",33
"108","Albania",2020-03-14,"confirmed",38
"109","Albania",2020-03-15,"confirmed",42
"110","Albania",2020-03-16,"confirmed",51
"111","Algeria",2020-01-22,"confirmed",0
"112","Algeria",2020-01-23,"confirmed",0
"113","Algeria",2020-01-24,"confirmed",0
"114","Algeria",2020-01-25,"confirmed",0
"115","Algeria",2020-01-26,"confirmed",0
"116","Algeria",2020-01-27,"confirmed",0
"117","Algeria",2020-01-28,"confirmed",0
"118","Algeria",2020-01-29,"confirmed",0
"119","Algeria",2020-01-30,"confirmed",0
"120","Algeria",2020-01-31,"confirmed",0
"121","Algeria",2020-02-01,"confirmed",0
"122","Algeria",2020-02-02,"confirmed",0
"123","Algeria",2020-02-03,"confirmed",0
"124","Algeria",2020-02-04,"confirmed",0
"125","Algeria",2020-02-05,"confirmed",0
"126","Algeria",2020-02-06,"confirmed",0
"127","Algeria",2020-02-07,"confirmed",0
"128","Algeria",2020-02-08,"confirmed",0
"129","Algeria",2020-02-09,"confirmed",0
"130","Algeria",2020-02-10,"confirmed",0
"131","Algeria",2020-02-11,"confirmed",0
"132","Algeria",2020-02-12,"confirmed",0
"133","Algeria",2020-02-13,"confirmed",0
"134","Algeria",2020-02-14,"confirmed",0
"135","Algeria",2020-02-15,"confirmed",0
"136","Algeria",2020-02-16,"confirmed",0
"137","Algeria",2020-02-17,"confirmed",0
"138","Algeria",2020-02-18,"confirmed",0
"139","Algeria",2020-02-19,"confirmed",0
"140","Algeria",2020-02-20,"confirmed",0
"141","Algeria",2020-02-21,"confirmed",0
"142","Algeria",2020-02-22,"confirmed",0
"143","Algeria",2020-02-23,"confirmed",0
"144","Algeria",2020-02-24,"confirmed",0
"145","Algeria",2020-02-25,"confirmed",1
"146","Algeria",2020-02-26,"confirmed",1
"147","Algeria",2020-02-27,"confirmed",1
"148","Algeria",2020-02-28,"confirmed",1
"149","Algeria",2020-02-29,"confirmed",1
"150","Algeria",2020-03-01,"confirmed",1
"151","Algeria",2020-03-02,"confirmed",3
"152","Algeria",2020-03-03,"confirmed",5
"153","Algeria",2020-03-04,"confirmed",12
"154","Algeria",2020-03-05,"confirmed",12
"155","Algeria",2020-03-06,"confirmed",17
"156","Algeria",2020-03-07,"confirmed",17
"157","Algeria",2020-03-08,"confirmed",19
"158","Algeria",2020-03-09,"confirmed",20
"159","Algeria",2020-03-10,"confirmed",20
"160","Algeria",2020-03-11,"confirmed",20
"161","Algeria",2020-03-12,"confirmed",24
"162","Algeria",2020-03-13,"confirmed",26
"163","Algeria",2020-03-14,"confirmed",37
"164","Algeria",2020-03-15,"confirmed",48
"165","Algeria",2020-03-16,"confirmed",54
"166","Andorra",2020-01-22,"confirmed",0
"167","Andorra",2020-01-23,"confirmed",0
"168","Andorra",2020-01-24,"confirmed",0
"169","Andorra",2020-01-25,"confirmed",0
"170","Andorra",2020-01-26,"confirmed",0
"171","Andorra",2020-01-27,"confirmed",0
"172","Andorra",2020-01-28,"confirmed",0
"173","Andorra",2020-01-29,"confirmed",0
"174","Andorra",2020-01-30,"confirmed",0
"175","Andorra",2020-01-31,"confirmed",0
"176","Andorra",2020-02-01,"confirmed",0
"177","Andorra",2020-02-02,"confirmed",0
"178","Andorra",2020-02-03,"confirmed",0
"179","Andorra",2020-02-04,"confirmed",0
"180","Andorra",2020-02-05,"confirmed",0
"181","Andorra",2020-02-06,"confirmed",0
"182","Andorra",2020-02-07,"confirmed",0
"183","Andorra",2020-02-08,"confirmed",0
"184","Andorra",2020-02-09,"confirmed",0
"185","Andorra",2020-02-10,"confirmed",0
"186","Andorra",2020-02-11,"confirmed",0
"187","Andorra",2020-02-12,"confirmed",0
"188","Andorra",2020-02-13,"confirmed",0
"189","Andorra",2020-02-14,"confirmed",0
"190","Andorra",2020-02-15,"confirmed",0
"191","Andorra",2020-02-16,"confirmed",0
"192","Andorra",2020-02-17,"confirmed",0
"193","Andorra",2020-02-18,"confirmed",0
"194","Andorra",2020-02-19,"confirmed",0
"195","Andorra",2020-02-20,"confirmed",0
"196","Andorra",2020-02-21,"confirmed",0
"197","Andorra",2020-02-22,"confirmed",0
"198","Andorra",2020-02-23,"confirmed",0
"199","Andorra",2020-02-24,"confirmed",0
"200","Andorra",2020-02-25,"confirmed",0
"201","Andorra",2020-02-26,"confirmed",0
"202","Andorra",2020-02-27,"confirmed",0
"203","Andorra",2020-02-28,"confirmed",0
"204","Andorra",2020-02-29,"confirmed",0
"205","Andorra",2020-03-01,"confirmed",0
"206","Andorra",2020-03-02,"confirmed",1
"207","Andorra",2020-03-03,"confirmed",1
"208","Andorra",2020-03-04,"confirmed",1
"209","Andorra",2020-03-05,"confirmed",1
"210","Andorra",2020-03-06,"confirmed",1
"211","Andorra",2020-03-07,"confirmed",1
"212","Andorra",2020-03-08,"confirmed",1
"213","Andorra",2020-03-09,"confirmed",1
"214","Andorra",2020-03-10,"confirmed",1
"215","Andorra",2020-03-11,"confirmed",1
"216","Andorra",2020-03-12,"confirmed",1
"217","Andorra",2020-03-13,"confirmed",1
"218","Andorra",2020-03-14,"confirmed",1
"219","Andorra",2020-03-15,"confirmed",1
"220","Andorra",2020-03-16,"confirmed",2
"221","Antigua and Barbuda",2020-01-22,"confirmed",0
"222","Antigua and Barbuda",2020-01-23,"confirmed",0
"223","Antigua and Barbuda",2020-01-24,"confirmed",0
"224","Antigua and Barbuda",2020-01-25,"confirmed",0
"225","Antigua and Barbuda",2020-01-26,"confirmed",0
"226","Antigua and Barbuda",2020-01-27,"confirmed",0
"227","Antigua and Barbuda",2020-01-28,"confirmed",0
"228","Antigua and Barbuda",2020-01-29,"confirmed",0
"229","Antigua and Barbuda",2020-01-30,"confirmed",0
"230","Antigua and Barbuda",2020-01-31,"confirmed",0
"231","Antigua and Barbuda",2020-02-01,"confirmed",0
"232","Antigua and Barbuda",2020-02-02,"confirmed",0
